kind,name,image_url,start_year,end_year,doors
SUV cars,Citroen C4 Aircross 1.6i 2WD Attraction,https://www.cars-data.com/pictures/thumbs/350px/citroen/citroen-c4-aircross_448_1.jpg,2012,2015,5
SUV cars,Dacia Duster 1.6 16V 4x2,https://www.cars-data.com/pictures/thumbs/350px/dacia/dacia-duster_514_1.jpg,2010,2013,5
SUV cars,Daihatsu Feroza Resin-Top EL,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-feroza_579_1.jpg,1991,1994,3
SUV cars,Daihatsu Feroza Soft-Top,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-feroza_580_1.jpg,1995,1998,3
SUV cars,Daihatsu Rocky Hardtop SE Diesel,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-rocky_587_1.jpg,1994,1995,3
SUV cars,Daihatsu Rocky Hardtop BX,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-rocky-hardtop_588_1.jpg,1988,1989,3
SUV cars,Daihatsu Rocky Softtop BX,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-rocky-softtop_589_1.jpg,1988,1989,3
SUV cars,Daihatsu Rocky Wagon DX,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-rocky-wagon_590_1.jpg,1988,1992,3
SUV cars,Daihatsu Terios 1.3i,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-terios_594_1.jpg,1997,2000,5
SUV cars,Daihatsu Terios 2WD 1.3i DX,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-terios_595_1.jpg,2000,2005,5
SUV cars,Daihatsu Terios 1.5 16V DVVT 2WD,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-terios_596_1.jpg,2006,2010,5
SUV cars,Daihatsu Terios 1.5 16V DVVT 2WD Traffic,https://www.cars-data.com/pictures/thumbs/350px/daihatsu/daihatsu-terios_597_1.jpg,2010,2011,5
SUV cars,Dodge Nitro 3.7 V6 4x4 SE,https://www.cars-data.com/pictures/thumbs/350px/dodge/dodge-nitro_605_1.jpg,2007,2010,5
SUV cars,Fiat Sedici 1.6 16v Dynamic,https://www.cars-data.com/pictures/thumbs/350px/fiat/fiat-sedici_678_1.jpg,2007,2009,5
SUV cars,Fiat Sedici 1.6 16v Dynamic,https://www.cars-data.com/pictures/thumbs/350px/fiat/fiat-sedici_679_1.jpg,2009,2012,5
SUV cars,Fiat Sedici 1.6 16v Active,https://www.cars-data.com/pictures/thumbs/350px/fiat/fiat-sedici_680_1.jpg,2012,2013,5
SUV cars,Ford Expedition XLT,https://www.cars-data.com/pictures/thumbs/350px/ford/ford-expedition_732_1.jpg,1998,2001,5
SUV cars,Ford Explorer XLT,https://www.cars-data.com/pictures/thumbs/350px/ford/ford-explorer_733_1.jpg,1995,2002,5
SUV cars,Ford Kuga 2.5 Turbo AWD Trend,https://www.cars-data.com/pictures/thumbs/350px/ford/ford-kuga_786_1.jpg,2009,2011,5
SUV cars,Honda CR-V 2.0i LS,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-cr-v_915_1.jpg,1997,1999,5
SUV cars,Honda CR-V 2.0i S,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-cr-v_916_1.jpg,2002,2004,5
SUV cars,Honda CR-V 2.0i LS,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-cr-v_917_1.jpg,2004,2007,5
SUV cars,Honda CR-V 2.0 i-VTEC Comfort,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-cr-v_918_1.jpg,2007,2010,5
SUV cars,Honda CR-V 2.0 i-VTEC,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-cr-v_919_1.jpg,2010,2012,5
SUV cars,Honda HR-V 1.6i 2WD,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-hr-v_924_1.jpg,1999,2001,3
SUV cars,Honda HR-V 1.6i 2WD,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-hr-v_925_1.jpg,2001,2003,3
SUV cars,Honda HR-V 1.6i 2WD,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-hr-v_926_1.jpg,1999,2001,5
SUV cars,Honda HR-V 1.6i 2WD,https://www.cars-data.com/pictures/thumbs/350px/honda/honda-hr-v_927_1.jpg,2001,2006,5
SUV cars,Hummer H2 6.0 V8 Pure,https://www.cars-data.com/pictures/thumbs/350px/hummer/hummer-h2_957_1.jpg,2004,2007,5
SUV cars,Hummer H2 SUT 6.0 V8 Exclusive,https://www.cars-data.com/pictures/thumbs/350px/hummer/hummer-h2-sut_958_1.jpg,2007,2007,5
SUV cars,Hummer H3 3.5 Comfort,https://www.cars-data.com/pictures/thumbs/350px/hummer/hummer-h3_959_1.jpg,2005,2007,5
SUV cars,Hummer H3 3.7,https://www.cars-data.com/pictures/thumbs/350px/hummer/hummer-h3_960_1.jpg,2007,2009,5
SUV cars,Hyundai ix35 1.6 GDI ActiveVersion 2WD,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-ix35_1012_1.jpg,2010,2013,5
SUV cars,Hyundai Santa Fe 2.0i 16V 2WD,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-santa-fe_1030_1.jpg,2000,2004,5
SUV cars,Hyundai Santa Fe 2.0i 16V 2WD ActiveVersion,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-santa-fe_1031_1.jpg,2004,2007,5
SUV cars,Hyundai Santa Fe 2.7i V6 2WD ActiveVersion,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-santa-fe_1032_1.jpg,2006,2010,5
SUV cars,Hyundai Santa Fe 2.4i CVVT 2WD ActiveVersion,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-santa-fe_1033_1.jpg,2010,2012,5
SUV cars,Hyundai Santa Fe 2.4 GDI CVVT 2WD i-Motion,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-santa-fe_1034_1.jpg,2012,2014,5
SUV cars,Hyundai Terracan 3.5i V6 Executive,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-terracan_1044_1.jpg,2001,2004,5
SUV cars,Hyundai Terracan 3.5i V6 Executive,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-terracan_1045_1.jpg,2004,2007,5
SUV cars,Hyundai Tucson 2.0i CVVT ActiveVersion 2WD,https://www.cars-data.com/pictures/thumbs/350px/hyundai/hyundai-tucson_1048_1.jpg,2004,2010,5
SUV cars,Infiniti EX37,https://www.cars-data.com/pictures/thumbs/350px/infiniti/infiniti-ex_1052_1.jpg,2008,2012,5
SUV cars,Infiniti FX37 GT,https://www.cars-data.com/pictures/thumbs/350px/infiniti/infiniti-fx_1053_1.jpg,2008,2013,5
SUV cars,Jeep Cherokee 2.1 TD SE,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1088_1.jpg,1989,1993,3
SUV cars,Jeep Cherokee 2.5i,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1089_1.jpg,1993,1995,5
SUV cars,Jeep Cherokee 2.5i S,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1090_1.jpg,1997,1999,5
SUV cars,Jeep Cherokee 2.4i Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1091_1.jpg,2001,2002,5
SUV cars,Jeep Cherokee 2.4i Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1092_1.jpg,2005,2006,5
SUV cars,Jeep Cherokee 3.7 V6 Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-cherokee_1093_1.jpg,2008,2011,5
SUV cars,Jeep Commander 4.7i V8 Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-commander_1094_1.jpg,2006,2010,5
SUV cars,Jeep Compass 2.4 Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-compass_1095_1.jpg,2006,2011,5
SUV cars,Jeep Compass 2.0 Sport 2WD Liberty,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-compass_1096_1.jpg,2012,2013,5
SUV cars,Jeep Grand Cherokee 4.0i Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1097_1.jpg,1993,1999,5
SUV cars,Jeep Grand Cherokee 4.0i Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1098_1.jpg,1999,2001,5
SUV cars,Jeep Grand Cherokee 4.0i Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1099_1.jpg,2001,2002,5
SUV cars,Jeep Grand Cherokee 4.0i Limited,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1100_1.jpg,2003,2005,5
SUV cars,Jeep Grand Cherokee 3.7 V6 Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1101_1.jpg,2006,2008,5
SUV cars,Jeep Grand Cherokee 3.7 V6 Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1102_1.jpg,2008,2011,5
SUV cars,Jeep Grand Cherokee 3.6 V6 Laredo,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-grand-cherokee_1103_1.jpg,2011,2013,5
SUV cars,Jeep Patriot 2.4 Sport Liberty,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-patriot_1104_1.jpg,2010,2011,5
SUV cars,Jeep Wrangler 2.5i Soft Top,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler_1105_1.jpg,1991,1993,2
SUV cars,Jeep Wrangler 2.5i Soft Top,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler_1106_1.jpg,1996,2002,2
SUV cars,Jeep Wrangler 2.4i Soft Top Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler_1107_1.jpg,2002,2007,2
SUV cars,Jeep Wrangler 3.8 Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler_1108_1.jpg,2007,2011,2
SUV cars,Jeep Wrangler 4.0i Soft Top,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler_1109_1.jpg,1991,1995,3
SUV cars,Jeep Wrangler Unlimited 3.8 Sport,https://www.cars-data.com/pictures/thumbs/350px/jeep/jeep-wrangler-unlimited_1110_1.jpg,2007,2011,4
SUV cars,Kia Sorento 2.4 16V LX,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sorento_1160_1.jpg,2002,2005,5
SUV cars,Kia Sorento 3.3 V6 Comfort,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sorento_1161_1.jpg,2008,2009,5
SUV cars,Kia Sorento 2.4 X-pect Cool,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sorento_1162_1.jpg,2009,2011,5
SUV cars,Kia Sportage 2.0i SOHC,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1165_1.jpg,1994,1999,5
SUV cars,Kia Sportage 2.0 16V DOHC,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1166_1.jpg,1999,2003,5
SUV cars,Kia Sportage 2.0 CVVT 2WD Comfort,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1167_1.jpg,2004,2007,5
SUV cars,Kia Sportage 2.0 CVVT 2WD X-pect,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1168_1.jpg,2007,2008,5
SUV cars,Kia Sportage 2.0 CVVT 2WD X-pect Cool,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1169_1.jpg,2008,2010,5
SUV cars,Kia Sportage 1.6 GDI X-tra,https://www.cars-data.com/pictures/thumbs/350px/kia/kia-sportage_1170_1.jpg,2010,2012,5
SUV cars,Lada Niva,https://www.cars-data.com/pictures/thumbs/350px/lada/lada-niva_1178_1.jpg,1978,1991,3
SUV cars,Land Rover Defender 90 V8 Anniversary,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-90_1237_1.jpg,1998,1998,3
SUV cars,Land Rover Defender 90 Td5 Soft Top E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-90_1238_1.jpg,2002,2003,3
SUV cars,Land Rover Defender 90 2.4 TD Station Wagon E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-90_1239_1.jpg,2007,2011,3
SUV cars,Land Rover Defender 90 2.2 TD Station Wagon,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-90_1240_1.jpg,2011,2016,3
SUV cars,Land Rover Defender 110 V8 County,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-110_1241_1.jpg,1991,1995,5
SUV cars,Land Rover Defender 110 Td5 Station Wagon E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-110_1242_1.jpg,2002,2007,5
SUV cars,Land Rover Defender 110 2.4 TD Station Wagon E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-110_1243_1.jpg,2007,2011,5
SUV cars,Land Rover Defender 110 2.2 TD Station Wagon,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-defender-110_1244_1.jpg,2011,2016,5
SUV cars,Land Rover Discovery V8i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1245_1.jpg,1990,1992,3
SUV cars,Land Rover Discovery V8i Leisure,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1246_1.jpg,1994,1999,3
SUV cars,Land Rover Discovery V8i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1247_1.jpg,1990,1992,5
SUV cars,Land Rover Discovery V8i Leisure,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1248_1.jpg,1994,1996,5
SUV cars,Land Rover Discovery V8i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1249_1.jpg,2001,2001,5
SUV cars,Land Rover Discovery 4.0 V8i E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1250_1.jpg,2002,2004,5
SUV cars,Land Rover Discovery 4.4 V8 SE,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1251_1.jpg,2004,2008,5
SUV cars,Land Rover Discovery 5.0 V8 Ultimate,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-discovery_1252_1.jpg,2010,2011,5
SUV cars,Land Rover Freelander Hardback 1.8 i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-hardback_1253_1.jpg,1998,2000,3
SUV cars,Land Rover Freelander Hardback 1.8i S,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-hardback_1254_1.jpg,2000,2002,3
SUV cars,Land Rover Freelander Hardback 1.8i E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-hardback_1255_1.jpg,2002,2003,3
SUV cars,Land Rover Freelander Hardback 1.8 E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-hardback_1256_1.jpg,2003,2005,3
SUV cars,Land Rover Freelander Softback 1.8i E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-softback_1257_1.jpg,2002,2003,3
SUV cars,Land Rover Freelander 3.2 i6 S,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander_1258_1.jpg,2007,2012,5
SUV cars,Land Rover Freelander Station Wagon 1.8 i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-station-wagon_1259_1.jpg,1998,2000,5
SUV cars,Land Rover Freelander Station Wagon 1.8i S,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-station-wagon_1260_1.jpg,2000,2002,5
SUV cars,Land Rover Freelander Station Wagon 1.8i E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-station-wagon_1261_1.jpg,2002,2003,5
SUV cars,Land Rover Freelander Station Wagon 1.8 E,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-freelander-station-wagon_1262_1.jpg,2003,2005,5
SUV cars,Land Rover Range Rover 3.5i,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1263_1.jpg,1988,1989,3
SUV cars,Land Rover Range Rover 3.5i Vogue,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1264_1.jpg,1988,1989,5
SUV cars,Land Rover Range Rover 4.0,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1265_1.jpg,1994,1998,5
SUV cars,Land Rover Range Rover V8 SE,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1266_1.jpg,2002,2005,5
SUV cars,Land Rover Range Rover V8 SE,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1267_1.jpg,2005,2007,5
SUV cars,Land Rover Range Rover V8 5.0 Supercharged,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover_1268_1.jpg,2009,2013,5
SUV cars,Land Rover Range Rover Evoque Coupe 2.0 Si4 4WD Pure,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover-evoque-coupe_1269_1.jpg,2011,2013,3
SUV cars,Land Rover Range Rover Evoque 2.0 Si4 4WD Pure,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover-evoque_1270_1.jpg,2011,2013,5
SUV cars,Land Rover Range Rover Sport 4.4 V8 SE,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover-sport_1271_1.jpg,2005,2007,5
SUV cars,Land Rover Range Rover Sport V8 5.0 Supercharged,https://www.cars-data.com/pictures/thumbs/350px/land-rover/land-rover-range-rover-sport_1272_1.jpg,2009,2013,5
SUV cars,Lexus RX 300,https://www.cars-data.com/pictures/thumbs/350px/lexus/lexus-rx_1293_1.jpg,2000,2003,5
SUV cars,Lexus RX 300,https://www.cars-data.com/pictures/thumbs/350px/lexus/lexus-rx_1294_1.jpg,2003,2006,5
SUV cars,Lexus RX 350 Pure,https://www.cars-data.com/pictures/thumbs/350px/lexus/lexus-rx_1295_1.jpg,2009,2012,5
SUV cars,Lexus RX 450h 2WD Business Line,https://www.cars-data.com/pictures/thumbs/350px/lexus/lexus-rx_1296_1.jpg,2012,2015,5
SUV cars,Mazda CX-5 SkyActiv-G 2.0 S,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-cx-5_1412_1.jpg,2012,2015,5
SUV cars,Mazda CX-7 2.3 DISI Turbo Touring,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-cx-7_1413_1.jpg,2007,2008,5
SUV cars,Mazda CX-7 2.3 DISI Turbo GT-L,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-cx-7_1414_1.jpg,2009,2012,5
SUV cars,Mazda CX-9 3.7 V6,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-cx-9_1415_1.jpg,2009,2010,5
SUV cars,Mazda Tribute 2.0 2WD Exclusive,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-tribute_1439_1.jpg,2001,2004,5
SUV cars,Mazda Tribute 2.3 4WD Touring,https://www.cars-data.com/pictures/thumbs/350px/mazda/mazda-tribute_1440_1.jpg,2004,2005,5
SUV cars,Mercedes-Benz 230 GE Cabriolet,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-cabriolet_1515_1.jpg,1982,1990,2
SUV cars,Mercedes-Benz 230 GE Cabriolet,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-cabriolet_1516_1.jpg,1990,1993,2
SUV cars,Mercedes-Benz G 230 Cabriolet,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-cabriolet_1517_1.jpg,1993,1994,2
SUV cars,Mercedes-Benz G 320 Cabriolet,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-cabriolet_1518_1.jpg,2000,2006,2
SUV cars,Mercedes-Benz G 500 Cabriolet,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-cabriolet_1519_1.jpg,2012,2014,2
SUV cars,Mercedes-Benz 230 GE Stationwagon Kort,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-kort_1520_1.jpg,1982,1990,3
SUV cars,Mercedes-Benz 230 GE Stationwagon Kort,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-kort_1521_1.jpg,1990,1993,3
SUV cars,Mercedes-Benz G 230 Stationwagon Kort,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-kort_1522_1.jpg,1993,1994,3
SUV cars,Mercedes-Benz G 320 Stationwagon Kort,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-kort_1523_1.jpg,2000,2006,3
SUV cars,Mercedes-Benz G 500,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class_1524_1.jpg,2012,2015,5
SUV cars,Mercedes-Benz 230 GE Stationwagon Lang,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-lang_1525_1.jpg,1982,1990,5
SUV cars,Mercedes-Benz 230 GE Stationwagon Lang,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-lang_1526_1.jpg,1990,1993,5
SUV cars,Mercedes-Benz G 230 Stationwagon Lang,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-lang_1527_1.jpg,1993,1994,5
SUV cars,Mercedes-Benz G 320 Stationwagon Lang,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-g-class-stationwagon-lang_1528_1.jpg,2000,2006,5
SUV cars,Mercedes-Benz GL 450 4Matic,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-gl_1529_1.jpg,2006,2012,5
SUV cars,Mercedes-Benz GLK 280 4Matic,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-glk_1530_1.jpg,2008,2009,5
SUV cars,Mercedes-Benz GLK 200,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-glk_1531_1.jpg,2013,2015,5
SUV cars,Mercedes-Benz ML 230,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-m-class_1532_1.jpg,1998,2000,5
SUV cars,Mercedes-Benz ML 320,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-m-class_1533_1.jpg,2001,2002,5
SUV cars,Mercedes-Benz ML 350,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-m-class_1534_1.jpg,2005,2008,5
SUV cars,Mercedes-Benz ML 350 4Matic,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-m-class_1535_1.jpg,2008,2011,5
SUV cars,Mercedes-Benz ML 350 4Matic,https://www.cars-data.com/pictures/thumbs/350px/mercedes-benz/mercedes-benz-m-class_1536_1.jpg,2011,2014,5
SUV cars,Mini Countryman One,https://www.cars-data.com/pictures/thumbs/350px/mini/mini-countryman_1593_1.jpg,2010,2014,5
SUV cars,Mitsubishi ASX 1.6 ClearTec Inform,https://www.cars-data.com/pictures/thumbs/350px/mitsubishi/mitsubishi-asx_1600_1.jpg,2010,2012,5
SUV cars,Mitsubishi Outlander 2.0 2WD Comfort Base,https://www.cars-data.com/pictures/thumbs/350px/mitsubishi/mitsubishi-outlander_1651_1.jpg,2003,2004,5
